"Facility.Name","Facility.City","Facility.State","Facility.Type","Rating.Overall","Rating.Mortality","Rating.Safety","Rating.Readmission","Rating.Experience","Rating.Effectiveness","Rating.Timeliness","Rating.Imaging","Procedure.Heart Attack.Cost","Procedure.Heart Attack.Quality","Procedure.Heart Attack.Value","Procedure.Heart Failure.Cost","Procedure.Heart Failure.Quality","Procedure.Heart Failure.Value","Procedure.Pneumonia.Cost","Procedure.Pneumonia.Quality","Procedure.Pneumonia.Value","Procedure.Hip Knee.Cost","Procedure.Hip Knee.Quality","Procedure.Hip Knee.Value"
"Medstar Georgetown University Hospital","Washington","DC","Private","1","Same","Below","Below","Same","Same","Below","Above","23606","Average","Average","18494","Average","Higher","17781","Average","Average","21746","Average","Average"
"Sibley Memorial Hospital","Washington","DC","Unknown","3","Same","Below","Below","Above","Above","Below","Above","23511","Average","Average","15907","Average","Average","16051","Average","Lower","20655","Average","Lower"
"Providence Hospital","Washington","DC","Private","1","Same","Below","Below","Below","Below","Below","Same","22293","Average","Average","16303","Average","Average","19641","Average","Higher","24276","Average","Higher"
"United Medical Center","Washington","DC","Proprietary","1","Same","Same","Below","Below","Below","Below","None","23117","Average","Average","15421","Average","Average","21129","Average","Higher","0","Unknown","Unknown"
"Medstar Washington Hospital Center","Washington","DC","Unknown","1","Above","Below","Below","Below","Below","Below","Above","24536","Average","Average","16590","Better","Average","16192","Average","Lower","27224","Average","Higher"
"Children's Hospital Nmc","Washington","DC","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Uf Health Jacksonville","Jacksonville","FL","Private","2","Above","Below","Below","Below","Below","Below","Below","24967","Average","Average","16594","Better","Average","17610","Average","Average","27368","Average","Higher"
"Bethesda Hospital East","Boynton Beach","FL","Private","3","Same","Same","Above","Below","Same","Same","Above","25557","Average","Higher","20539","Average","Higher","18925","Average","Higher","23492","Average","Higher"
"Orlando Health Orlando Regional Medical Center","Orlando","FL","Private","4","Same","Above","Above","Same","Same","Below","Above","25303","Average","Higher","17358","Average","Higher","18533","Average","Higher","20360","Average","Lower"
"Florida Hospital","Orlando","FL","Private","3","Above","Below","Below","Above","Above","Below","Above","26062","Average","Higher","17657","Better","Higher","19155","Better","Higher","21634","Average","Average"
"Baptist Hospital Of Miami","Miami","FL","Private","2","Above","Below","Below","Same","Same","Below","Above","23097","Average","Average","18736","Average","Higher","17227","Better","Average","23410","Average","Higher"
"Lee Memorial Hospital","Fort Myers","FL","Government","3","Same","Above","Below","Below","Same","Same","Above","23802","Average","Average","16302","Average","Average","17719","Average","Average","21974","Better","Average"
"Florida Hospital New Smyrna","New Smyrna Beach","FL","Church","1","Below","Below","Below","Below","Same","Below","Same","24821","Average","Average","17909","Average","Average","18532","Average","Average","24938","Average","Higher"
"Halifax Health Medical Center","Daytona Beach","FL","Government","2","Below","Below","Above","Below","Below","Below","Above","24191","Average","Average","17837","Average","Average","19378","Average","Higher","23222","Average","Higher"
"Naples Community Hospital","Naples","FL","Private","4","Same","Above","Above","Below","Below","Same","Above","22272","Average","Lower","17151","Average","Average","17328","Average","Average","22698","Average","Higher"
"Holmes Regional Medical Center","Melbourne","FL","Private","3","Same","Below","Below","Below","Same","Same","Above","23535","Average","Average","18571","Average","Higher","18445","Average","Higher","21016","Average","Lower"
"Jackson Memorial Hospital","Miami","FL","Government","1","Below","Below","Below","Below","Same","Below","Above","26334","Average","Higher","18806","Average","Higher","19221","Average","Higher","25379","Average","Higher"
"Citrus Memorial Hospital","Inverness","FL","Government","1","Below","Below","Above","Below","Same","Below","Same","22406","Average","Lower","16422","Worse","Average","17009","Worse","Average","24621","Average","Higher"
"Sacred Heart Hospital","Pensacola","FL","Private","2","Below","Below","Above","Above","Below","Below","Above","22456","Average","Average","16535","Average","Average","17079","Average","Average","21044","Average","Lower"
"Bay Medical Center Sacred Heart Health System","Panama City","FL","Government","2","Same","Above","Below","Below","Same","Below","Same","23316","Average","Average","17426","Average","Average","19068","Average","Higher","24858","Average","Higher"
"Parrish Medical Center","Titusville","FL","Government","1","Below","Below","Above","Below","Same","Below","Same","24808","Average","Average","15647","Average","Average","17569","Worse","Average","24340","Average","Higher"
"North Shore Medical Center","Miami","FL","Proprietary","1","Same","Below","Below","Below","Same","Below","Same","26059","Average","Average","19468","Average","Higher","20578","Average","Higher","23408","Average","Average"
"Health Central","Ocoee","FL","Government","2","Same","Above","Below","Same","Same","Below","Same","24907","Average","Average","16380","Average","Average","17731","Average","Average","21326","Average","Average"
"Bayfront Health - St Petersburg","Saint Petersburg","FL","Private","1","Same","Below","Below","Below","Same","Same","Same","24586","Average","Average","18740","Average","Higher","19167","Average","Higher","23244","Average","Higher"
"Mount Sinai Medical Center","Miami Beach","FL","Proprietary","2","Above","Below","Below","Below","Same","Below","Below","23131","Average","Average","18533","Average","Higher","18591","Better","Higher","28936","Average","Higher"
"Manatee Memorial Hospital","Bradenton","FL","Proprietary","1","Below","Below","Below","Below","Same","Same","Above","23669","Average","Average","18127","Worse","Higher","18693","Worse","Higher","21065","Average","Lower"
"Memorial Regional Hospital","Hollywood","FL","Government","3","Above","Same","Below","Same","Same","Below","Same","26071","Average","Higher","18123","Better","Higher","18199","Average","Average","24617","Average","Higher"
"Broward Health Medical Center","Fort Lauderdale","FL","Government","1","Same","Below","Below","Below","Same","Below","Same","26921","Average","Higher","19048","Average","Higher","19837","Average","Higher","19009","Average","Lower"
"St Vincent's Medical Center Riverside","Jacksonville","FL","Private","2","Same","Below","Below","Below","Same","Below","Same","26092","Average","Higher","17414","Average","Average","19014","Worse","Higher","20746","Average","Lower"
"Mease Dunedin Hospital","Dunedin","FL","Private","4","Same","Same","Above","Above","Same","Same","Same","24563","Average","Average","16666","Average","Average","18685","Average","Average","21983","Average","Average"
"Martin Medical Center","Stuart","FL","Private","1","Same","Below","Below","Below","Same","Below","Same","25750","Average","Higher","17544","Average","Higher","17391","Average","Average","21617","Average","Average"
"Florida Hospital Deland","Deland","FL","Church","2","Below","Below","Below","Same","Same","Same","Above","23022","Average","Average","18316","Average","Higher","18595","Worse","Higher","21439","Average","Average"
"Florida Hospital Zephyrhills","Zephyrhills","FL","Church","4","Same","Above","Above","Above","Same","Same","Same","24265","Average","Average","17852","Average","Higher","19093","Average","Higher","21494","Average","Average"
"Bayfront Health Punta Gorda","Punta Gorda","FL","Proprietary","2","Same","Below","Above","Below","Same","Same","Same","25234","Average","Average","18233","Average","Higher","18176","Average","Average","22389","Average","Average"
"Jay Hospital","Jay","FL","Private","3","Same","None","Same","None","Same","Same","None","0","Unknown","Unknown","13957","Average","Lower","13792","Average","Lower","0","Unknown","Unknown"
"Highlands Regional Medical Center","Sebring","FL","Proprietary","1","Same","Below","Below","Below","Same","Above","Below","25365","Average","Average","17754","Average","Average","18047","Average","Average","26872","Average","Higher"
"Larkin Community Hospital Palm Springs Campus","Hialeah","FL","Private","2","Above","Above","Below","Below","Same","Below","None","24894","Average","Average","16919","Average","Average","17111","Better","Average","0","Unknown","Unknown"
"South Lake Hospital","Clermont","FL","Government","4","Same","Above","Above","Same","Above","Below","Same","21626","Average","Lower","15590","Average","Lower","18126","Average","Average","22201","Average","Average"
"Winter Haven Hospital","Winter Haven","FL","Private","2","Below","Below","Above","Below","Same","Below","Same","23355","Average","Average","18562","Worse","Higher","18463","Worse","Higher","21110","Average","Lower"
"Hialeah Hospital","Hialeah","FL","Proprietary","2","Same","Same","Below","Below","Same","Below","Same","24250","Average","Average","20382","Average","Higher","19480","Average","Higher","0","Unknown","Unknown"
"Twin Cities Hospital","Niceville","FL","Proprietary","3","Same","Above","Below","Above","Same","Above","Below","23366","Average","Average","15376","Average","Average","15850","Average","Lower","22001","Average","Average"
"Florida Hospital North Pinellas","Tarpon Springs","FL","Unknown","3","Same","Below","Same","Same","Above","Above","Same","23700","Average","Average","17845","Average","Average","18326","Average","Average","23714","Average","Higher"
"Florida Hospital Waterman","Tavares","FL","Church","3","Same","Below","Below","Above","Same","Below","Above","27588","Average","Higher","18033","Average","Higher","18271","Average","Higher","21483","Average","Average"
"Florida Hospital Ocala","Ocala","FL","Government","2","Below","Above","Above","Below","Below","Below","Above","21582","Average","Lower","18436","Worse","Higher","18117","Worse","Higher","25474","Average","Higher"
"Morton Plant North Bay Hospital","New Port Richey","FL","Private","4","Same","Above","Above","Same","Same","Below","Same","24026","Average","Average","20683","Average","Higher","20044","Average","Higher","20145","Average","Lower"
"St Anthonys Hospital","Saint Petersburg","FL","Church","3","Above","Below","Below","Below","Same","Below","Same","24418","Average","Average","18323","Average","Higher","17880","Better","Average","24049","Average","Higher"
"Florida Hospital Memorial Medical Center","Daytona Beach","FL","Church","4","Same","Below","Above","Above","Above","Below","Above","23572","Average","Average","17002","Average","Average","18448","Average","Higher","24028","Average","Higher"
"Florida Hospital Carrollwood","Tampa","FL","Church","4","Same","Above","Below","Above","Same","Same","None","0","Unknown","Unknown","17061","Average","Average","19058","Average","Average","21930","Average","Average"
"Venice Regional Medical Center - Bayfront Health","Venice","FL","Proprietary","1","Below","Below","Above","Below","Above","Below","Same","25349","Average","Higher","18411","Worse","Higher","18245","Worse","Average","21662","Average","Average"
"Bayfront Health Brooksville","Brooksville","FL","Church","1","Same","Below","Below","Below","Same","Same","Same","22523","Average","Average","16805","Average","Average","20517","Average","Higher","22211","Average","Average"
"Florida Hospital Fish Memorial","Orange City","FL","Church","2","Same","Below","Below","Same","Same","Below","Above","24400","Average","Average","19618","Average","Higher","18559","Average","Average","23621","Average","Higher"
"Holy Cross Hospital","Fort Lauderdale","FL","Church","4","Same","Above","Above","Below","Above","Same","Same","25374","Average","Average","18535","Average","Higher","18613","Average","Higher","22624","Better","Higher"
